City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Tiksi,RU,2021-09-02 19:56:02,71.6872,128.8694,43.05,85,52,9.57
93,Norman Wells,CA,2021-09-02 19:56:02,65.282,-126.8329,66.24,55,20,9.22
94,Faranah,GN,2021-09-02 19:56:03,10.0404,-10.7434,72.93,95,67,1.99
95,Punta Arenas,CL,2021-09-02 19:56:03,-53.15,-70.9167,50.11,53,0,21.85
96,Coahuayana,MX,2021-09-02 19:56:03,18.7333,-103.6833,85.89,71,90,5.86
97,San Quintin,MX,2021-09-02 19:56:04,30.4833,-115.95,72.99,69,61,12.44
98,Yuli,NG,2021-09-02 19:56:04,9.6989,10.2744,75.65,84,100,5.99
99,Visby,SE,2021-09-02 19:56:04,57.6409,18.296,61.86,72,20,8.05
100,Korla,CN,2021-09-02 19:56:05,41.7597,86.1469,69.26,49,0,6.85
101,Pevek,RU,2021-09-02 19:56:05,69.7008,170.3133,33.91,91,100,3.71
102,Uige,AO,2021-09-02 19:56:05,-7.6087,15.0613,72.45,73,91,5.17
103,Torbay,CA,2021-09-02 19:56:06,47.6666,-52.7314,65.88,91,75,4.61
104,Flinders,AU,2021-09-02 19:56:06,-34.5833,150.8552,56.17,88,3,1.01
105,Lebu,CL,2021-09-02 19:56:06,-37.6167,-73.65,55.45,79,3,6.76
106,Saskylakh,RU,2021-09-02 19:56:07,71.9167,114.0833,33.15,97,100,17.92
107,Nikolskoye,RU,2021-09-02 19:56:07,59.7035,30.7861,46.29,87,100,5.91
108,Victoria,HK,2021-09-02 19:52:15,22.2855,114.1577,84.33,82,66,4.03
109,Pontianak,ID,2021-09-02 19:56:07,-0.0333,109.3333,73.38,100,90,1.14
110,Tura,IN,2021-09-02 19:56:08,25.5198,90.2201,73.11,93,100,2.04
111,Talcahuano,CL,2021-09-02 19:55:15,-36.7167,-73.1167,53.28,87,90,8.05
112,Aksu,CN,2021-09-02 19:56:08,41.1231,80.2644,69.82,41,4,0.47
113,Nouadhibou,MR,2021-09-02 19:56:09,20.931,-17.0347,76.98,69,0,16.11
114,Hvolsvollur,IS,2021-09-02 19:56:09,63.7533,-20.2243,53.82,85,100,4.41
115,Kailua,US,2021-09-02 19:56:09,21.4022,-157.7394,84.07,74,90,10.36
116,Bambous Virieux,MU,2021-09-02 19:56:10,-20.3428,57.7575,71.85,68,75,13.8
117,Lake Havasu City,US,2021-09-02 19:56:10,34.4839,-114.3224,96.24,33,1,4.0
118,Petauke,ZM,2021-09-02 19:56:10,-14.2426,31.3253,69.8,63,73,10.36
119,Mar Del Plata,AR,2021-09-02 19:56:10,-38.0023,-57.5575,55.42,82,75,13.8
120,Alice Springs,AU,2021-09-02 19:56:11,-23.7,133.8833,74.75,50,39,13.8
121,Leningradskiy,RU,2021-09-02 19:56:11,69.3833,178.4167,32.34,100,100,1.45
122,Whitehorse,CA,2021-09-02 19:56:11,60.7161,-135.0538,59.77,67,75,13.8
123,Upernavik,GL,2021-09-02 19:56:12,72.7868,-56.1549,39.02,71,3,7.0
124,Beloha,MG,2021-09-02 19:56:12,-25.1667,45.05,70.16,81,0,5.3
125,Saint George,US,2021-09-02 19:56:12,37.1041,-113.5841,91.63,37,0,1.01
126,Esperance,AU,2021-09-02 19:56:13,-33.8667,121.9,40.84,81,100,15.82
127,Te Anau,NZ,2021-09-02 19:56:13,-45.4167,167.7167,34.47,87,32,1.05
128,Vila Franca Do Campo,PT,2021-09-02 19:56:13,37.7167,-25.4333,72.01,79,75,4.68
129,Nhulunbuy,AU,2021-09-02 19:56:14,-12.2333,136.7667,79.41,83,90,11.5
130,Prado,BR,2021-09-02 19:56:14,-17.3411,-39.2208,72.36,80,76,7.36
131,Urumqi,CN,2021-09-02 19:56:15,43.801,87.6005,59.95,72,0,4.47
132,Bodden Town,KY,2021-09-02 19:56:15,19.2833,-81.25,88.0,74,20,5.99
133,Taoudenni,ML,2021-09-02 19:56:15,22.6783,-3.9836,106.97,8,46,8.25
134,Nurlat,RU,2021-09-02 19:56:16,54.4277,50.8051,56.53,95,66,5.68
135,San Cristobal,VE,2021-09-02 19:56:16,7.7669,-72.225,84.38,48,39,6.85
136,Atar,MR,2021-09-02 19:56:15,20.5169,-13.0499,102.15,14,0,8.86
137,Hermanus,ZA,2021-09-02 19:56:17,-34.4187,19.2345,55.9,86,1,8.95
138,Beisfjord,NO,2021-09-02 19:56:17,68.3751,17.5988,45.25,98,100,4.85
139,College,US,2021-09-02 19:56:13,64.8569,-147.8028,58.59,79,75,4.61
140,Oberwart,AT,2021-09-02 19:56:17,47.2897,16.206,64.58,63,74,4.18
141,Lalibela,ET,2021-09-02 19:56:18,12.0333,39.0333,57.96,74,100,7.07
142,Breyten,ZA,2021-09-02 19:56:18,-26.3018,29.987,55.51,46,0,4.47
143,Lata,PT,2021-09-02 19:56:18,40.1629,-8.3327,72.05,91,0,2.98
144,Saint-Philippe,RE,2021-09-02 19:56:19,-21.3585,55.7679,69.39,77,22,11.45
145,Severnyy,RU,2021-09-02 19:56:19,50.677,36.5532,51.84,93,75,11.18
146,Hamilton,US,2021-09-02 19:56:19,39.1834,-84.5333,81.1,48,0,1.01
147,Lagoa,PT,2021-09-02 19:56:20,39.05,-27.9833,71.73,88,0,15.61
148,Vostok,RU,2021-09-02 19:56:20,46.4856,135.8833,50.38,91,66,3.29
149,Port Hueneme,US,2021-09-02 19:56:21,34.1478,-119.1951,88.2,68,40,11.5
150,Hofn,IS,2021-09-02 19:56:21,64.2539,-15.2082,54.46,74,100,2.62
151,Qaqortoq,GL,2021-09-02 19:56:21,60.7167,-46.0333,45.5,96,100,5.75
152,Augusto Correa,BR,2021-09-02 19:56:21,-1.0217,-46.635,78.76,88,75,5.14
153,Anadyr,RU,2021-09-02 19:56:22,64.75,177.4833,46.9,87,100,4.47
154,Ixtapa,MX,2021-09-02 19:56:22,20.7,-105.2,85.23,80,100,1.99
155,Pangnirtung,CA,2021-09-02 19:56:23,66.1451,-65.7125,50.0,57,40,17.27
156,Trincomalee,LK,2021-09-02 19:56:23,8.5711,81.2335,81.19,72,99,18.81
157,Kawalu,ID,2021-09-02 19:56:23,-7.3817,108.2082,68.5,93,97,2.51
158,Bousso,TD,2021-09-02 19:56:24,10.4795,16.7117,71.76,88,100,2.42
159,Kysyl-Syr,RU,2021-09-02 19:56:24,63.8986,122.7617,47.97,95,100,7.83
160,Kourou,GF,2021-09-02 19:56:24,5.1552,-52.6478,82.11,76,94,3.15
