City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Mpika,ZM,-11.8343,31.4529,62.71,49,19,4.81,few clouds
140,Banyo,CM,6.75,11.8167,66.78,91,60,0.27,light rain
141,Palampur,IN,32.1167,76.5333,70.3,74,95,1.92,overcast clouds
142,Ponta Do Sol,PT,32.6667,-17.1,79.0,73,50,11.97,scattered clouds
143,Tateyama,JP,34.9833,139.8667,73.42,79,100,12.21,light rain
144,Prado,BR,-17.3411,-39.2208,79.18,61,48,8.14,scattered clouds
145,Katsuura,JP,35.1333,140.3,73.51,83,100,12.75,moderate rain
146,San Fernando,PH,15.0286,120.6898,78.15,95,100,0.34,light rain
147,Gorontalo,ID,0.5412,123.0595,73.76,96,91,0.81,overcast clouds
148,Maryville,US,35.7565,-83.9705,84.29,60,20,1.01,few clouds
149,Buchanan,LR,5.8808,-10.0467,75.78,88,100,5.61,overcast clouds
150,Aquin,HT,18.2833,-73.4,87.62,60,75,5.68,broken clouds
151,Lebu,CL,-37.6167,-73.65,49.3,86,100,19.98,light rain
152,Husavik,IS,66.0449,-17.3389,42.71,84,100,10.67,light rain
153,Luanda,AO,-8.8368,13.2343,73.4,88,34,6.91,scattered clouds
154,Mahebourg,MU,-20.4081,57.7,71.89,83,75,17.27,light rain
155,Qasigiannguit,GL,68.8193,-51.1922,30.45,67,100,2.93,overcast clouds
156,Phalodi,IN,27.1333,72.3667,87.3,64,100,12.28,overcast clouds
157,Vladila,RO,44.0,24.4,71.91,32,0,6.31,clear sky
158,Bossangoa,CF,6.4926,17.4552,72.14,94,61,3.78,light rain
159,East London,ZA,-33.0153,27.9116,65.34,88,75,6.91,broken clouds
160,Belaya Gora,RU,68.5333,146.4167,42.12,64,83,6.08,broken clouds
161,Guerrero Negro,MX,27.9769,-114.0611,85.17,51,2,5.3,clear sky
162,Kristiinankaupunki,FI,62.2743,21.376,54.1,99,100,6.96,overcast clouds
163,Althofen,AT,46.8818,14.4676,66.45,73,30,2.91,scattered clouds
164,Benguela,AO,-12.5763,13.4055,72.84,88,86,4.65,overcast clouds
165,Ancud,CL,-41.8697,-73.8203,49.53,79,83,15.35,light rain
166,Karachi,PK,24.9056,67.0822,84.02,74,44,5.75,scattered clouds
167,Jose Bonifacio,BR,-21.0528,-49.6883,97.86,14,2,9.06,clear sky
168,Ixtapa,MX,20.7,-105.2,89.22,79,40,11.5,scattered clouds
169,Saint-Philippe,RE,-21.3585,55.7679,71.19,83,43,15.9,light rain
170,Inta,RU,66.0317,60.1659,35.91,95,100,8.95,overcast clouds
171,Klaksvik,FO,62.2266,-6.589,52.72,88,97,10.8,overcast clouds
172,Cayenne,GF,4.9333,-52.3333,87.84,77,0,3.0,clear sky
173,Chara,RU,56.9064,118.2631,49.64,93,100,0.76,light rain
174,Laguna,US,38.421,-121.4238,91.65,43,20,1.01,few clouds
175,Ust-Maya,RU,60.4167,134.5333,42.6,81,9,2.06,clear sky
176,Zheleznodorozhnyy,RU,55.7503,38.0042,64.15,81,88,5.48,overcast clouds
177,Saint-Augustin,CA,51.226,-58.6502,62.28,64,44,17.38,scattered clouds
178,Wittlich,DE,49.9833,6.8833,68.04,67,1,0.0,clear sky
179,Bossier City,US,32.516,-93.7321,89.78,47,1,6.91,clear sky
180,Labrea,BR,-7.2586,-64.7981,95.13,37,45,1.63,scattered clouds
181,Itamaraca,BR,-7.7478,-34.8256,84.88,67,76,11.65,broken clouds
182,Ozuluama,MX,21.6667,-97.85,83.37,70,64,9.62,broken clouds
183,Nador,MA,35.174,-2.9287,78.87,78,0,1.14,clear sky
184,Mayo,US,38.8876,-76.5119,88.27,59,1,5.01,clear sky
185,Digha,IN,21.6833,87.55,82.11,88,100,17.49,heavy intensity rain
186,Raudeberg,NO,61.9875,5.1352,53.2,76,70,12.03,broken clouds
187,Shubarkuduk,KZ,49.1447,56.4872,53.8,39,4,5.61,clear sky
188,Bandarbeyla,SO,9.4942,50.8122,77.68,81,6,34.18,clear sky
189,Maceio,BR,-9.6658,-35.7353,85.44,65,75,6.91,broken clouds
190,Horizontina,BR,-27.6258,-54.3078,92.23,36,1,9.19,clear sky
191,Mamallapuram,IN,12.6264,80.1722,86.05,75,99,15.66,overcast clouds
192,Saint Anthony,US,45.0205,-93.218,67.89,59,40,1.01,scattered clouds
193,Atar,MR,20.5169,-13.0499,99.36,25,94,6.13,overcast clouds
194,Aksu,CN,41.1231,80.2644,67.95,45,12,13.29,few clouds
195,Ahipara,NZ,-35.1667,173.1667,51.46,86,11,8.21,few clouds
196,Mountain Home,US,43.133,-115.6912,72.88,38,1,4.61,clear sky
197,Puerto Del Rosario,ES,28.5004,-13.8627,76.75,83,20,0.0,few clouds
198,Pisco,PE,-13.7,-76.2167,67.01,72,0,10.36,clear sky
199,Sabang,ID,5.8933,95.3214,80.64,79,97,21.21,overcast clouds
200,Melzo,IT,45.5013,9.4253,80.22,45,0,1.14,clear sky
201,Verkh-Suetka,RU,53.3,80.05,43.93,59,57,12.44,broken clouds
202,Moose Factory,CA,51.2585,-80.6094,59.0,72,90,13.8,overcast clouds
203,Bontang,ID,0.1333,117.5,77.99,84,100,7.05,overcast clouds
204,Marsa Matruh,EG,31.3525,27.2453,82.2,59,24,5.61,few clouds
205,Pierre,US,44.3683,-100.351,76.05,71,1,5.01,clear sky
206,Belgrade,RS,44.804,20.4651,73.06,38,0,4.61,clear sky
207,Aswan,EG,24.0934,32.907,88.61,19,1,11.39,clear sky
208,Sitangkai,PH,4.6628,119.3928,79.09,82,100,11.1,overcast clouds
209,Pueblo Nuevo,MX,23.3833,-105.3833,76.28,34,0,1.23,clear sky
210,Gao,ML,16.6362,1.637,101.61,22,43,6.71,scattered clouds
211,Yulara,AU,-25.2406,130.9889,60.64,44,0,11.5,clear sky
212,Campbellton,CA,48.0075,-66.6727,68.45,78,97,12.59,overcast clouds
213,Nizhniy Ufaley,RU,55.9153,59.9842,40.77,86,43,2.46,scattered clouds
214,Necochea,AR,-38.5473,-58.7368,57.92,89,82,13.11,broken clouds
215,Torata,PE,-17.0769,-70.8433,70.38,22,61,10.98,broken clouds
216,Virginia Beach,US,36.8529,-75.978,86.05,53,1,3.0,clear sky
217,Qeshm,IR,26.9581,56.2719,89.49,71,2,9.73,clear sky
218,Nioaque,BR,-21.1353,-55.83,103.44,17,83,11.39,broken clouds
219,Luderitz,NA,-26.6481,15.1594,59.56,78,74,20.0,broken clouds
220,Vilhena,BR,-12.7406,-60.1458,93.74,30,18,6.85,few clouds
221,Vila Velha,BR,-20.3297,-40.2925,82.35,65,0,16.11,clear sky
222,Yar-Sale,RU,66.8333,70.8333,40.68,73,100,17.34,overcast clouds
223,Marsh Harbour,BS,26.5412,-77.0636,85.39,71,70,14.79,broken clouds
224,San Jose De Rio Tinto,HN,14.9333,-85.7,94.57,43,52,7.47,broken clouds
225,Banjar,ID,-8.19,114.9675,75.06,90,94,2.71,overcast clouds
226,Port Moresby,PG,-9.4431,147.1797,74.64,93,53,2.39,broken clouds
227,Puerto Ayora,EC,-0.7393,-90.3518,76.96,91,83,5.01,broken clouds
228,Souillac,MU,-20.5167,57.5167,71.98,83,75,17.27,light rain
229,Constitucion,CL,-35.3333,-72.4167,52.95,85,100,23.22,overcast clouds
230,Meulaboh,ID,4.1363,96.1285,73.65,95,100,6.55,overcast clouds
231,Lavrentiya,RU,65.5833,-171.0,39.94,80,99,14.16,overcast clouds
232,Itupiranga,BR,-5.1347,-49.3267,84.52,38,37,4.54,scattered clouds
233,Baruun-Urt,MN,46.6806,113.2792,45.16,80,0,5.7,clear sky
234,Yatou,CN,37.15,122.3833,67.68,91,3,4.38,light rain
235,Myaundzha,RU,63.0494,147.1858,33.93,67,62,3.2,broken clouds
236,Dikson,RU,73.5069,80.5464,40.3,84,16,5.48,few clouds
237,Alihe,CN,50.5667,123.7167,49.59,98,100,3.78,moderate rain
238,Port Blair,IN,11.6667,92.75,81.23,83,99,18.48,overcast clouds
239,Shimoda,JP,34.6667,138.95,71.71,89,100,10.18,overcast clouds
240,Evensk,RU,61.95,159.2333,36.81,58,25,7.45,scattered clouds
241,Olafsvik,IS,64.8945,-23.7142,52.41,92,100,38.5,moderate rain
242,Port Elizabeth,ZA,-33.918,25.5701,60.1,100,40,12.66,scattered clouds
243,Nikolskoye,RU,59.7035,30.7861,61.02,98,100,4.94,overcast clouds
244,Poronaysk,RU,49.2167,143.1167,51.3,71,100,23.38,overcast clouds
245,Saint-Sauveur-Des-Monts,CA,45.9001,-74.1659,75.96,50,46,13.96,scattered clouds
246,Namtsy,RU,62.7161,129.6658,32.11,64,13,3.69,few clouds
247,Susangerd,IR,31.5608,48.1831,96.82,15,0,11.36,clear sky
248,Barth,DE,54.3635,12.7249,66.63,78,99,12.03,overcast clouds
249,Narsaq,GL,60.9167,-46.05,46.62,50,74,24.43,broken clouds
250,Dayong,CN,25.0209,118.2898,82.08,93,96,3.29,light rain
251,Avera,US,33.194,-82.5271,85.95,37,0,4.99,clear sky
252,Guijalo,PH,13.7373,123.868,80.51,84,100,5.28,overcast clouds
253,Rybachiy,RU,48.7073,44.7449,64.26,39,100,5.21,overcast clouds
254,Los Llanos De Aridane,ES,28.6585,-17.9182,76.75,74,0,11.5,clear sky
255,Sabha,LY,27.0377,14.4283,92.77,15,0,1.81,clear sky
256,Chapleau,CA,47.8405,-83.4034,60.89,63,75,4.61,light rain
257,Palaikastron,GR,35.2,26.25,73.72,60,0,6.4,clear sky
258,Talnakh,RU,69.4865,88.3972,46.63,79,99,4.52,overcast clouds
259,Baghdad,IQ,33.3406,44.4009,85.91,26,0,6.91,clear sky
260,Sonoita,MX,31.85,-112.8333,102.52,18,0,4.03,clear sky
261,Aykino,RU,62.2248,49.9922,36.09,82,99,3.15,overcast clouds
262,Airai,TL,-8.9266,125.4092,59.14,85,99,1.83,overcast clouds
263,Antalaha,MG,-14.9003,50.2788,69.53,91,100,9.8,light rain
264,Hlotse,LS,-28.8718,28.045,60.28,19,0,1.52,clear sky
265,Oranjestad,AW,12.524,-70.027,89.55,62,40,17.27,scattered clouds
266,Yumen,CN,40.2833,97.2,68.83,38,100,10.31,overcast clouds
267,Komsomolskiy,UZ,40.4272,71.7189,68.72,37,0,4.61,clear sky
268,Kavieng,PG,-2.5744,150.7967,81.14,79,87,6.44,moderate rain
269,Geraldton,AU,-28.7667,114.6,45.01,93,0,6.91,clear sky
270,Nodeland,NO,58.1552,7.8358,67.86,63,20,3.44,few clouds
271,Ayagoz,KZ,47.9714,80.4392,46.98,44,73,8.59,broken clouds
272,Shakawe,BW,-18.3667,21.85,71.02,19,0,5.41,clear sky
273,Yuncheng,CN,35.0231,110.9928,70.92,82,0,4.56,light rain
274,Beringovskiy,RU,63.05,179.3167,34.79,96,100,23.69,moderate rain
275,Shache,CN,38.4167,77.2406,71.67,29,38,5.73,scattered clouds
276,Lompoc,US,34.6391,-120.4579,64.71,90,90,0.0,overcast clouds
277,Nalut,LY,30.3333,10.85,86.41,22,0,11.01,clear sky
278,Vung Tau,VN,10.346,107.0843,79.57,84,91,15.61,light rain
279,Tura,IN,25.5198,90.2201,74.14,97,56,3.71,broken clouds
280,Weiser,US,44.251,-116.9693,77.02,49,94,1.01,overcast clouds
281,Warri,NG,5.5167,5.75,78.13,87,100,5.55,overcast clouds
282,Hailar,CN,49.2,119.7,49.48,93,100,24.58,overcast clouds
283,Havre-Saint-Pierre,CA,50.2334,-63.5986,55.76,94,90,6.91,overcast clouds
284,Royan,FR,45.6285,-1.0281,77.04,57,19,9.19,few clouds
285,Zemetchino,RU,53.4973,42.6163,62.37,72,100,7.05,overcast clouds
286,Lata,PT,40.1629,-8.3327,75.07,62,100,4.99,overcast clouds
287,Fairbanks,US,64.8378,-147.7164,49.91,66,75,3.44,broken clouds
288,Altamira,BR,-3.2033,-52.2064,91.49,55,75,5.75,broken clouds
289,Rio Grande,BR,-32.035,-52.0986,73.51,75,90,14.07,overcast clouds
290,Xambioa,BR,-6.4111,-48.5364,98.92,24,40,4.7,scattered clouds
291,Kaeo,NZ,-35.1,173.7833,46.33,94,36,7.09,scattered clouds
292,Dedza,MW,-14.3779,34.3332,62.51,47,77,1.95,broken clouds
293,Kennebunk,US,43.384,-70.5448,80.35,67,20,1.01,few clouds
294,Panaba,MX,21.2833,-88.2667,92.93,42,96,16.11,overcast clouds
295,Mandalgovi,MN,45.7625,106.2708,50.88,40,24,6.6,few clouds
296,Ucluelet,CA,48.9329,-125.5528,66.09,78,26,5.95,scattered clouds
297,Panama City,PA,8.9936,-79.5197,80.55,96,75,8.05,broken clouds
298,Te Anau,NZ,-45.4167,167.7167,42.04,89,100,4.9,overcast clouds
299,Tecpan,GT,14.7623,-90.9947,70.56,89,99,4.83,overcast clouds
300,Talcahuano,CL,-36.7167,-73.1167,55.08,67,75,13.8,light rain
301,Lalmohan,BD,22.3384,90.7419,82.49,87,100,25.14,overcast clouds
302,Prince Rupert,CA,54.3161,-130.3201,55.49,91,90,2.3,light rain
303,Isabela,PH,6.7085,121.9711,78.15,83,100,2.86,overcast clouds
304,Orange Cove,US,36.6244,-119.3137,92.84,35,1,6.91,clear sky
305,Caravelas,BR,-17.7125,-39.2481,81.21,55,36,7.54,scattered clouds
306,Kyren,RU,51.6828,102.1408,49.68,78,8,2.77,clear sky
307,Abbeville,FR,50.1,1.8333,66.27,75,30,6.42,scattered clouds
308,Pangoa,PE,-12.1167,-73.0,90.79,38,57,4.38,broken clouds
309,Lodja,CD,-3.4833,23.4333,71.24,78,90,1.48,overcast clouds
310,Abonnema,NG,4.7084,6.7931,77.32,85,96,9.22,light rain
311,Cabo San Lucas,MX,22.8909,-109.9124,89.51,75,1,1.99,clear sky
312,Puerto Carreno,CO,6.189,-67.4859,88.63,58,98,2.73,light rain
313,Murchison,NZ,-41.8,172.3333,52.39,97,100,5.32,light rain
314,Tuatapere,NZ,-46.1333,167.6833,43.83,88,94,10.27,overcast clouds
315,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.49,77,46,13.51,scattered clouds
316,Palmer,US,42.1584,-72.3287,81.99,61,40,5.01,scattered clouds
317,Mandalay,MM,21.9747,96.0836,76.46,93,20,5.37,few clouds
318,Saldanha,ZA,-33.0117,17.9442,53.65,71,27,11.77,scattered clouds
319,Laje,BR,-10.1833,-40.9667,91.11,24,0,15.39,clear sky
320,Clyde River,CA,70.4692,-68.5914,33.48,65,30,26.69,scattered clouds
321,Sorland,NO,67.667,12.6934,46.26,78,100,17.09,overcast clouds
322,Cocobeach,GA,1.0002,9.5823,78.73,83,100,10.71,overcast clouds
323,Khani,GE,41.9563,42.9566,58.57,96,88,0.78,overcast clouds
324,Gazojak,TM,41.1875,61.4036,72.09,18,0,8.93,clear sky
325,Kahului,US,20.8947,-156.47,80.62,63,75,9.22,broken clouds
326,Dunedin,NZ,-45.8742,170.5036,52.81,82,98,5.01,overcast clouds
327,Auki,SB,-8.7676,160.7034,75.96,88,18,4.5,few clouds
328,Kupavna,RU,55.7478,38.1336,64.22,83,86,5.21,overcast clouds
329,Bambous Virieux,MU,-20.3428,57.7575,71.85,83,75,17.27,light rain
330,Zhanaozen,KZ,43.3,52.8,74.98,19,2,9.78,clear sky
331,Itamarandiba,BR,-17.8572,-42.8589,90.34,18,2,6.42,clear sky
332,Simbahan,PH,6.3032,120.5836,81.73,73,100,10.96,overcast clouds
333,Rincon De La Victoria,ES,36.7172,-4.2758,85.35,77,58,2.51,broken clouds
334,Beira,MZ,-19.8436,34.8389,68.09,83,20,5.75,few clouds
335,Donnacona,CA,46.6804,-71.7239,73.11,43,29,12.66,scattered clouds
336,San Patricio,US,28.017,-97.5169,90.32,58,96,14.43,overcast clouds
337,Sur,OM,22.5667,59.5289,87.58,61,86,10.74,overcast clouds
338,Lorengau,PG,-2.0226,147.2712,81.9,78,100,5.77,overcast clouds
339,Uthal,PK,25.8072,66.6219,83.62,69,53,6.78,broken clouds
340,Colares,PT,38.7992,-9.4469,76.98,70,20,6.91,few clouds
341,Lira,UG,2.235,32.9097,64.8,88,64,3.09,light rain
342,Primorsko-Akhtarsk,RU,46.0497,38.1747,70.65,63,94,6.8,overcast clouds
343,Metro,ID,-5.1131,105.3067,76.41,89,97,3.85,overcast clouds
344,San Juan Bautista,PE,-14.0108,-75.7358,62.17,32,94,4.36,overcast clouds
345,Rakamaz,HU,48.1333,21.4667,67.66,42,56,2.39,broken clouds
346,Labuhan,ID,-6.8844,112.2051,77.59,86,89,7.45,overcast clouds
347,Shrigonda,IN,18.6167,74.6833,74.01,91,95,9.08,overcast clouds
348,Santa Rosa,PH,14.3122,121.1114,78.12,93,100,3.0,overcast clouds
